x= 292, y= 80, width= 4, height= 16
x= 296, y= 80, width= 8, height= 4
x= 296, y= 84, width= 8, height= 4
x= 296, y= 88, width= 8, height= 4
x= 296, y= 92, width= 8, height= 4
x= 304, y= 80, width= 4, height= 8
x= 304, y= 88, width= 4, height= 4
x= 304, y= 92, width= 4, height= 4
x= 308, y= 80, width= 8, height= 16
x= 316, y= 80, width= 4, height= 16
x= 256, y= 96, width= 8, height= 8
x= 264, y= 96, width= 8, height= 8
x= 256, y= 104, width= 4, height= 8
x= 260, y= 104, width= 8, height= 4
x= 260, y= 108, width= 8, height= 4
x= 268, y= 104, width= 4, height= 8
x= 272, y= 96, width= 16, height= 16
x= 256, y= 112, width= 4, height= 8
x= 260, y= 112, width= 4, height= 8
x= 256, y= 120, width= 8, height= 8
x= 264, y= 112, width= 8, height= 4
x= 264, y= 116, width= 8, height= 4
x= 264, y= 120, width= 8, height= 8
x= 272, y= 112, width= 4, height= 8
x= 276, y= 112, width= 4, height= 8
x= 280, y= 112, width= 8, height= 8
x= 272, y= 120, width= 4, height= 8
x= 276, y= 120, width= 4, height= 8
x= 280, y= 120, width= 4, height= 8
x= 284, y= 120, width= 4, height= 8
x= 288, y= 96, width= 8, height= 16
x= 296, y= 96, width= 8, height= 16
x= 304, y= 96, width= 8, height= 4
x= 304, y= 100, width= 4, height= 8
x= 308, y= 100, width= 4, height= 8
x= 304, y= 108, width= 8, height= 4
x= 312, y= 96, width= 8, height= 4
x= 312, y= 100, width= 8, height= 8
x= 312, y= 108, width= 4, height= 4
x= 316, y= 108, width= 4, height= 4
x= 288, y= 112, width= 16, height= 8
x= 288, y= 120, width= 8, height= 8
x= 296, y= 120, width= 8, height= 8
x= 304, y= 112, width= 16, height= 16
x= 320, y= 64, width= 16, height= 4
x= 320, y= 68, width= 8, height= 8
x= 328, y= 68, width= 8, height= 8
x= 320, y= 76, width= 8, height= 4
x= 328, y= 76, width= 8, height= 4
x= 336, y= 64, width= 4, height= 16
x= 340, y= 64, width= 8, height= 16
x= 348, y= 64, width= 4, height= 16
x= 320, y= 80, width= 8, height= 8
x= 328, y= 80, width= 4, height= 8
x= 332, y= 80, width= 4, height= 8
